album,artist,date,rank
NOW 49,Various Artists,2014-02-22,1
Frozen,Soundtrack,2014-02-22,2
Unorthodox Jukebox,Bruno Mars,2014-02-22,3
"Love, Marriage & Divorce",Toni Braxton &amp; Babyface,2014-02-22,4
After The Disco,Broken Bells,2014-02-22,5
Salute,Little Mix,2014-02-22,6
Beyonce,Beyonce,2014-02-22,7
Pure Heroine,Lorde,2014-02-22,8
2014 Grammy Nominees,Various Artists,2014-02-22,9
PRISM,Katy Perry,2014-02-22,10
Doo-Wops & Hooligans,Bruno Mars,2014-02-22,11
Night Visions,Imagine Dragons,2014-02-22,12
The Marshall Mathers LP 2,Eminem,2014-02-22,13
Thrive,Casting Crowns,2014-02-22,14
Kidz Bop 25,Kidz Bop Kids,2014-02-22,15
Hydra,Within Temptation,2014-02-22,16
Midnight Memories,One Direction,2014-02-22,17
Bangerz,Miley Cyrus,2014-02-22,18
Here's To The Good Times,Florida Georgia Line,2014-02-22,19
Crash My Party,Luke Bryan,2014-02-22,20
The Heist,Macklemore &amp; Ryan Lewis,2014-02-22,21
NOW 48,Various Artists,2014-02-22,22
That Girl,Jennifer Nettles,2014-02-22,23
Nothing Was The Same,Drake,2014-02-22,24
Black Panties,R. Kelly,2014-02-22,25
WOW Gospel 2014,Various Artists,2014-02-22,26
Bad Blood,Bastille,2014-02-22,27
Random Access Memories,Daft Punk,2014-02-22,28
Love In The Future,John Legend,2014-02-22,29
All The Little Lights,Passenger,2014-02-22,30
Eric Paslay,Eric Paslay,2014-02-22,31
Fight The Silence,For Today,2014-02-22,32
Restoring Force,Of Mice &amp; Men,2014-02-22,33
Satanist,Behemoth,2014-02-22,34
The 20/20 Experience (2 Of 2),Justin Timberlake,2014-02-22,35
Same Trailer Different Park,Kacey Musgraves,2014-02-22,36
1,The Beatles,2014-02-22,37
AM,Arctic Monkeys,2014-02-22,38
"good kid, m.A.A.d city",Kendrick Lamar,2014-02-22,39
Sail Out (EP),Jhene Aiko,2014-02-22,40
High Hopes,Bruce Springsteen,2014-02-22,41
Native,OneRepublic,2014-02-22,42
Is There Anybody Out There?,A Great Big World,2014-02-22,43
The Truth About Love,P!nk,2014-02-22,44
Blame It All On My Roots: Five Decades Of Influences,Garth Brooks,2014-02-22,45
Unconditional Love,Ruben Studdard,2014-02-22,46
Bakersfield,Vince Gill &amp; Paul Franklin,2014-02-22,47
The Lego Movie,Soundtrack,2014-02-22,48
WOW Hits 2014,Various Artists,2014-02-22,49
Kin (<-->),Pat Metheny Unity Group,2014-02-22,50
Because The Internet,Childish Gambino,2014-02-22,51
Based On A True Story ...,Blake Shelton,2014-02-22,52
Night Train,Jason Aldean,2014-02-22,53
Early Morning Shakes,Whiskey Myers,2014-02-22,54
My Own Lane,Kid Ink,2014-02-22,55
Born To Die,Lana Del Rey,2014-02-22,56
Greatest Hits,Red Hot Chili Peppers,2014-02-22,57
Flesh & Blood,John Butler Trio,2014-02-22,58
ARTPOP,Lady Gaga,2014-02-22,59
The Blessed Unrest,Sara Bareilles,2014-02-22,60
True,Avicii,2014-02-22,61
Love And War,Tamar Braxton,2014-02-22,62
The River & The Thread,Rosanne Cash,2014-02-22,63
Ready To Fly,Jamie Grace,2014-02-22,64
NOW That's What I Call Country Ballads 2,Various Artists,2014-02-22,65
Rebellious Soul,K. Michelle,2014-02-22,66
Save Rock And Roll,Fall Out Boy,2014-02-22,67
21,Adele,2014-02-22,68
Never Land (EP),Andy Mineo,2014-02-22,69
Blurred Lines,Robin Thicke,2014-02-22,70
I Am,Yo Gotti,2014-02-22,71
Lindsey Stirling,Lindsey Stirling,2014-02-22,72
Fuse,Keith Urban,2014-02-22,73
Croz,David Crosby,2014-02-22,74
To Be Loved,Michael Buble,2014-02-22,75
The 20/20 Experience,Justin Timberlake,2014-02-22,76
Halcyon,Ellie Goulding,2014-02-22,77
Red,Taylor Swift,2014-02-22,78
Fading West (Soundtrack),Switchfoot,2014-02-22,79
I Love You.,The Neighbourhood,2014-02-22,80
The Royal Sessions,Paul Rodgers,2014-02-22,81
Underground Luxury,B.o.B,2014-02-22,82
Legend: The Best Of...,Bob Marley And The Wailers,2014-02-22,83
Hunter Hayes,Hunter Hayes,2014-02-22,84
Clear,Periphery,2014-02-22,85
Yours Truly,Ariana Grande,2014-02-22,86
Hail To The King,Avenged Sevenfold,2014-02-22,87
+,Ed Sheeran,2014-02-22,88
The Wrong Side Of Heaven...Volume 2,Five Finger Death Punch,2014-02-22,89
Mind Over Matter,Young The Giant,2014-02-22,90
[Hybrid Theory],Linkin Park,2014-02-22,91
Inside Llewyn Davis,Soundtrack,2014-02-22,92
All The Right Reasons,Nickelback,2014-02-22,93
Baptized,Daughtry,2014-02-22,94
Golden,Lady Antebellum,2014-02-22,95
Opus Collection,Dusty Springfield,2014-02-22,96
Sinatra: Best Of The Best,Frank Sinatra,2014-02-22,97
Four Foot Shack,Les Claypool's Duo De Twang,2014-02-22,98
Women Of Jazz,Various Artists,2014-02-22,99
Babel,Mumford &amp; Sons,2014-02-22,100
"So Long, See You Tomorrow",Bombay Bicycle Club,2014-02-22,101
It Goes Like This,Thomas Rhett,2014-02-22,102
Best Days,Tamela Mann,2014-02-22,103
Pitch Perfect,Soundtrack,2014-02-22,104
PTX: Vol. II,Pentatonix,2014-02-22,105
Loved Me Back To Life,Celine Dion,2014-02-22,106
Teenage Dream,Katy Perry,2014-02-22,107
The Eminem Show,Eminem,2014-02-22,108
Grace (EP),Tasha Cobbs,2014-02-22,109
Britney Jean,Britney Spears,2014-02-22,110
The Best Of Nickelback: Volume 1,Nickelback,2014-02-22,111
Black Beehive,Big Head Todd And The Monsters,2014-02-22,112
The 1975,The 1975,2014-02-22,113
Off The Beaten Path,Justin Moore,2014-02-22,114
The Legend Of Johnny Cash,Johnny Cash,2014-02-22,115
Love Story,Tim McGraw,2014-02-22,116
Take Care,Drake,2014-02-22,117
Rise,Skillet,2014-02-22,118
Abbey Road,The Beatles,2014-02-22,119
Chief,Eric Church,2014-02-22,120
True Believers,Darius Rucker,2014-02-22,121
Modern Vampires Of The City,Vampire Weekend,2014-02-22,122
Mechanical Bull,Kings Of Leon,2014-02-22,123
Restart,newsboys,2014-02-22,124
Uncaged,Zac Brown Band,2014-02-22,125
Calicountry,Moonshine Bandits,2014-02-22,126
Magna Carta... Holy Grail,JAY-Z,2014-02-22,127
Common Courtesy,A Day To Remember,2014-02-22,128
My Head Is An Animal,Of Monsters And Men,2014-02-22,129
19,Adele,2014-02-22,130
Give The People What They Want,Sharon Jones And The Dap-Kings,2014-02-22,131
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,2014-02-22,132
See You Tonight,Scotty McCreery,2014-02-22,133
Rubber Soul,The Beatles,2014-02-22,134
Paranoid,Black Sabbath,2014-02-22,135
Write You A Song,Jon Pardi,2014-02-22,136
Metallica,Metallica,2014-02-22,137
Journey's Greatest Hits,Journey,2014-02-22,138
The Lumineers,The Lumineers,2014-02-22,139
Foreverly,Billie Joe + Norah,2014-02-22,140
Augustines,Augustines,2014-02-22,141
The Marshall Mathers LP,Eminem,2014-02-22,142
Slow Phaser,Nicole Atkins,2014-02-22,143
Reflektor,Arcade Fire,2014-02-22,144
Greatest Hits,Motley Crue,2014-02-22,145
Licensed To Ill,Beastie Boys,2014-02-22,146
God's Not Dead,newsboys,2014-02-22,147
"Too Weird To Live, Too Rare To Die!",Panic! At The Disco,2014-02-22,148
Sigh No More,Mumford &amp; Sons,2014-02-22,149
Up All Night,One Direction,2014-02-22,150
Las Bandas Romanticas de America 2014,Various Artists,2014-02-22,151
A Messenger,Colton Dixon,2014-02-22,152
Church Clothes: Vol. 2,Lecrae,2014-02-22,153
Nashville: Season 2: Volume 1,Soundtrack,2014-02-22,154
The Hunger Games: Catching Fire,Soundtrack,2014-02-22,155
Zion,Hillsong UNITED,2014-02-22,156
Eye On It,tobyMac,2014-02-22,157
The Joshua Tree,U2,2014-02-22,158
The Beatles [White Album],The Beatles,2014-02-22,159
Tailgates & Tanlines,Luke Bryan,2014-02-22,160
Blood,In This Moment,2014-02-22,161
Days Are Gone,HAIM,2014-02-22,162
Pioneer,The Band Perry,2014-02-22,163
Chronicle The 20 Greatest Hits,Creedence Clearwater Revival Featuring John Fogerty,2014-02-22,164
Stay Trippy,Juicy J,2014-02-22,165
Demi,Demi Lovato,2014-02-22,166
In Utero,Nirvana,2014-02-22,167
Mothership,Led Zeppelin,2014-02-22,168
Redneck Crazy,Tyler Farr,2014-02-22,169
The Very Best Of Fleetwood Mac,Fleetwood Mac,2014-02-22,170
The Wrong Side Of Heaven...Volume 1,Five Finger Death Punch,2014-02-22,171
Loaded: The Best Of Blake Shelton,Blake Shelton,2014-02-22,172
Take Me Home,One Direction,2014-02-22,173
NOW 47,Various Artists,2014-02-22,174
"Call Me Crazy, But... (EP)",Sevyn Streeter,2014-02-22,175
Paradise (EP),Lana Del Rey,2014-02-22,176
Wrote A Song For Everyone,John Fogerty,2014-02-22,177
Top 25 Praise Songs: 2014 Edition,Various Artists,2014-02-22,178
Three Kings,TGT,2014-02-22,179
Wicked,Original Broadway Cast Recording,2014-02-22,180
"Oh, What A Savior",Ernie Haase &amp; Signature Sound,2014-02-22,181
Outlaw Gentlemen & Shady Ladies,Volbeat,2014-02-22,182
The Dark Side Of The Moon,Pink Floyd,2014-02-22,183
The Electric Lady,Janelle Monae,2014-02-22,184
From Here To Now To You,Jack Johnson,2014-02-22,185
Unapologetic,Rihanna,2014-02-22,186
Fun Machine (EP),Lake Street Dive,2014-02-22,187
Yeezus,Kanye West,2014-02-22,188
A Hard Day's Night (Soundtrack),The Beatles,2014-02-22,189
You Get What You Give,Zac Brown Band,2014-02-22,190
Love,The Beatles,2014-02-22,191
Meet The Beatles!,The Beatles,2014-02-22,192
Austin & Ally: Turn It Up,Soundtrack,2014-02-22,193
Sempiternal,Bring Me The Horizon,2014-02-22,194
The Very Best Of The Eagles,Eagles,2014-02-22,195
Despicable ME 2,Soundtrack,2014-02-22,196
Days Of Gold,Jake Owen,2014-02-22,197
Overcomer,Mandisa,2014-02-22,198
The Foundation,Zac Brown Band,2014-02-22,199
Tornado,Little Big Town,2014-02-22,200
Frozen,Soundtrack,2014-02-15,1
2014 Grammy Nominees,Various Artists,2014-02-15,2
Pure Heroine,Lorde,2014-02-15,3
Restoring Force,Of Mice &amp; Men,2014-02-15,4
Beyonce,Beyonce,2014-02-15,5
Thrive,Casting Crowns,2014-02-15,6
Unorthodox Jukebox,Bruno Mars,2014-02-15,7
Night Visions,Imagine Dragons,2014-02-15,8
PRISM,Katy Perry,2014-02-15,9
Random Access Memories,Daft Punk,2014-02-15,10
The Heist,Macklemore &amp; Ryan Lewis,2014-02-15,11
Same Trailer Different Park,Kacey Musgraves,2014-02-15,12
Never Land (EP),Andy Mineo,2014-02-15,13
Kidz Bop 25,Kidz Bop Kids,2014-02-15,14
The Marshall Mathers LP 2,Eminem,2014-02-15,15
Bangerz,Miley Cyrus,2014-02-15,16
Nothing Was The Same,Drake,2014-02-15,17
Bad Blood,Bastille,2014-02-15,18
Doo-Wops & Hooligans,Bruno Mars,2014-02-15,19
That Girl,Jennifer Nettles,2014-02-15,20
"good kid, m.A.A.d city",Kendrick Lamar,2014-02-15,21
The Blessed Unrest,Sara Bareilles,2014-02-15,22
Midnight Memories,One Direction,2014-02-15,23
The 20/20 Experience (2 Of 2),Justin Timberlake,2014-02-15,24
Crash My Party,Luke Bryan,2014-02-15,25
Here's To The Good Times,Florida Georgia Line,2014-02-15,26
The Truth About Love,P!nk,2014-02-15,27
NOW 48,Various Artists,2014-02-15,28
High Hopes,Bruce Springsteen,2014-02-15,29
"Dave's Picks Volume 9: Harry Adams Field House, U. Of Montana, MT. 5/14/74",Grateful Dead,2014-02-15,30
All The Little Lights,Passenger,2014-02-15,31
Ready To Fly,Jamie Grace,2014-02-15,32
Is There Anybody Out There?,A Great Big World,2014-02-15,33
Love In The Future,John Legend,2014-02-15,34
Native,OneRepublic,2014-02-15,35
Croz,David Crosby,2014-02-15,36
Babel,Mumford &amp; Sons,2014-02-15,37
Black Panties,R. Kelly,2014-02-15,38
AM,Arctic Monkeys,2014-02-15,39
Cilvia: Demo,Isaiah Rashad,2014-02-15,40
Greatest Hits,Red Hot Chili Peppers,2014-02-15,41
Red,Taylor Swift,2014-02-15,42
The River & The Thread,Rosanne Cash,2014-02-15,43
+,Ed Sheeran,2014-02-15,44
Born To Die,Lana Del Rey,2014-02-15,45
(Acoustic Sessions) EP,Smith &amp; Myers,2014-02-15,46
The Joshua Tree,U2,2014-02-15,47
Sail Out (EP),Jhene Aiko,2014-02-15,48
ARTPOP,Lady Gaga,2014-02-15,49
Legend: The Best Of...,Bob Marley And The Wailers,2014-02-15,50
Blame It All On My Roots: Five Decades Of Influences,Garth Brooks,2014-02-15,51
The Marshall Mathers LP,Eminem,2014-02-15,52
Mind Over Matter,Young The Giant,2014-02-15,53
Fading West (Soundtrack),Switchfoot,2014-02-15,54
Based On A True Story ...,Blake Shelton,2014-02-15,55
The 20/20 Experience,Justin Timberlake,2014-02-15,56
Some Nights,fun.,2014-02-15,57
My Own Lane,Kid Ink,2014-02-15,58
Rumours,Fleetwood Mac,2014-02-15,59
True,Avicii,2014-02-15,60
Blurred Lines,Robin Thicke,2014-02-15,61
Clear,Periphery,2014-02-15,62
Night Train,Jason Aldean,2014-02-15,63
Because The Internet,Childish Gambino,2014-02-15,64
Blak And Blu,Gary Clark Jr.,2014-02-15,65
Inside Llewyn Davis,Soundtrack,2014-02-15,66
WOW Hits 2014,Various Artists,2014-02-15,67
Rocket Man: Number Ones,Elton John,2014-02-15,68
Red Dragon Cartel,Red Dragon Cartel,2014-02-15,69
Acoustic,Above &amp; Beyond,2014-02-15,70
Metropole,The Lawrence Arms,2014-02-15,71
Hunter Hayes,Hunter Hayes,2014-02-15,72
Too True,Dum Dum Girls,2014-02-15,73
1,The Beatles,2014-02-15,74
Nevermind,Nirvana,2014-02-15,75
Save Rock And Roll,Fall Out Boy,2014-02-15,76
Halcyon,Ellie Goulding,2014-02-15,77
Rebellious Soul,K. Michelle,2014-02-15,78
NOW That's What I Call Country Ballads 2,Various Artists,2014-02-15,79
Closer To The Truth,Cher,2014-02-15,80
Yours Truly,Ariana Grande,2014-02-15,81
The B-Sides,The Gaslight Anthem,2014-02-15,82
21,Adele,2014-02-15,83
Fuse,Keith Urban,2014-02-15,84
Paradise (EP),Lana Del Rey,2014-02-15,85
Foreverly,Billie Joe + Norah,2014-02-15,86
I Love You.,The Neighbourhood,2014-02-15,87
Modern Vampires Of The City,Vampire Weekend,2014-02-15,88
Lindsey Stirling,Lindsey Stirling,2014-02-15,89
Baptized,Daughtry,2014-02-15,90
Hail To The King,Avenged Sevenfold,2014-02-15,91
Unapologetic,Rihanna,2014-02-15,92
Give The People What They Want,Sharon Jones And The Dap-Kings,2014-02-15,93
The 1975,The 1975,2014-02-15,94
Love And War,Tamar Braxton,2014-02-15,95
Back To Black,Amy Winehouse,2014-02-15,96
Transgender Dysphoria Blues,Against Me!,2014-02-15,97
Gold: Greatest Hits,ABBA,2014-02-15,98
Songs In The Key Of Life,Stevie Wonder,2014-02-15,99
The College Dropout,Kanye West,2014-02-15,100
Britney Jean,Britney Spears,2014-02-15,101
"O Brother, Where Art Thou?",Soundtrack,2014-02-15,102
Magna Carta... Holy Grail,JAY-Z,2014-02-15,103
Golden,Lady Antebellum,2014-02-15,104
Hot Rocks 1964-1971,The Rolling Stones,2014-02-15,105
The Lumineers,The Lumineers,2014-02-15,106
The Wrong Side Of Heaven...Volume 2,Five Finger Death Punch,2014-02-15,107
Appetite For Destruction,Guns N' Roses,2014-02-15,108
Pitch Perfect,Soundtrack,2014-02-15,109
Rise,Skillet,2014-02-15,110
A Rush Of Blood To The Head,Coldplay,2014-02-15,111
It Goes Like This,Thomas Rhett,2014-02-15,112
To Be Loved,Michael Buble,2014-02-15,113
Yeezus,Kanye West,2014-02-15,114
Teenage Dream,Katy Perry,2014-02-15,115
Uncaged,Zac Brown Band,2014-02-15,116
All Eyez On Me,2Pac,2014-02-15,117
Grace (EP),Tasha Cobbs,2014-02-15,118
Write You A Song,Jon Pardi,2014-02-15,119
Common Courtesy,A Day To Remember,2014-02-15,120
I Am,Yo Gotti,2014-02-15,121
True Believers,Darius Rucker,2014-02-15,122
Bakersfield,Vince Gill &amp; Paul Franklin,2014-02-15,123
Cavalier Youth,You Me At Six,2014-02-15,124
Reflektor,Arcade Fire,2014-02-15,125
Tapestry,Carole King,2014-02-15,126
Metallica,Metallica,2014-02-15,127
Jagged Little Pill,Alanis Morissette,2014-02-15,128
Underground Luxury,B.o.B,2014-02-15,129
Nashville: Season 2: Volume 1,Soundtrack,2014-02-15,130
Greatest Hits,Motley Crue,2014-02-15,131
"Too Weird To Live, Too Rare To Die!",Panic! At The Disco,2014-02-15,132
My Head Is An Animal,Of Monsters And Men,2014-02-15,133
Overexposed,Maroon 5,2014-02-15,134
Off The Beaten Path,Justin Moore,2014-02-15,135
Restart,newsboys,2014-02-15,136
[Hybrid Theory],Linkin Park,2014-02-15,137
...Like Clockwork,Queens Of The Stone Age,2014-02-15,138
Saturday Night Fever,Soundtrack,2014-02-15,139
PTX: Vol. II,Pentatonix,2014-02-15,140
Number Ones,Michael Jackson,2014-02-15,141
Sigh No More,Mumford &amp; Sons,2014-02-15,142
Days Are Gone,HAIM,2014-02-15,143
The Best Of Nickelback: Volume 1,Nickelback,2014-02-15,144
Church Clothes: Vol. 2,Lecrae,2014-02-15,145
The Band Perry,The Band Perry,2014-02-15,146
All The Right Reasons,Nickelback,2014-02-15,147
NOW 47,Various Artists,2014-02-15,148
Recovery,Algebra Blessett,2014-02-15,149
Paramore,Paramore,2014-02-15,150
Up All Night,One Direction,2014-02-15,151
Mechanical Bull,Kings Of Leon,2014-02-15,152
The Immaculate Collection,Madonna,2014-02-15,153
Hard Working Americans,Hard Working Americans,2014-02-15,154
Warpaint,Warpaint,2014-02-15,155
Loaded: The Best Of Blake Shelton,Blake Shelton,2014-02-15,156
The Very Best Of Prince,Prince,2014-02-15,157
The Legend Of Johnny Cash,Johnny Cash,2014-02-15,158
Demi,Demi Lovato,2014-02-15,159
See You Tonight,Scotty McCreery,2014-02-15,160
Global Warming,Pitbull,2014-02-15,161
Blood,In This Moment,2014-02-15,162
Who's Next,The Who,2014-02-15,163
From Here To Now To You,Jack Johnson,2014-02-15,164
Las Bandas Romanticas de America 2014,Various Artists,2014-02-15,165
The Eminem Show,Eminem,2014-02-15,166
Mothership,Led Zeppelin,2014-02-15,167
Wicked,Original Broadway Cast Recording,2014-02-15,168
Golden Days,Dave Barnes,2014-02-15,169
Two Lanes Of Freedom,Tim McGraw,2014-02-15,170
Life After Death,The Notorious B.I.G.,2014-02-15,171
Journey's Greatest Hits,Journey,2014-02-15,172
When Jazz Meets Guitar,Various Artists,2014-02-15,173
To All The Girls...,Willie Nelson,2014-02-15,174
The Piano Guys,The Piano Guys,2014-02-15,175
Clarity,Zedd,2014-02-15,176
Soy Lo Que Quiero: Indispensable,Julion Alvarez y Su Norteno Banda,2014-02-15,177
Miracle,Third Day,2014-02-15,178
"Call Me Crazy, But... (EP)",Sevyn Streeter,2014-02-15,179
Outlaw Gentlemen & Shady Ladies,Volbeat,2014-02-15,180
Best Days,Tamela Mann,2014-02-15,181
Tailgates & Tanlines,Luke Bryan,2014-02-15,182
Loud,Rihanna,2014-02-15,183
Loved Me Back To Life,Celine Dion,2014-02-15,184
The Very Best Of Sheryl Crow,Sheryl Crow,2014-02-15,185
Pioneer,The Band Perry,2014-02-15,186
Take Me Home,One Direction,2014-02-15,187
Taylor Swift,Taylor Swift,2014-02-15,188
New,Paul McCartney,2014-02-15,189
American Hustle,Soundtrack,2014-02-15,190
Hey Jude,The Beatles,2014-02-15,191
Greatest Hits... So Far!!!,P!nk,2014-02-15,192
Bones Of What You Believe,CHVRCHES,2014-02-15,193
Stay Trippy,Juicy J,2014-02-15,194
How Great Is Our God: The Essential Collection,Chris Tomlin,2014-02-15,195
Hurricane,Natalie Grant,2014-02-15,196
Megalithic Symphony,AWOLNATION,2014-02-15,197
A Night At The Opera,Queen,2014-02-15,198
Metallica: Through The Never (Soundtrack),Metallica,2014-02-15,199
Weezer,Weezer,2014-02-15,200
Frozen,Soundtrack,2014-02-08,1
2014 Grammy Nominees,Various Artists,2014-02-08,2
Is There Anybody Out There?,A Great Big World,2014-02-08,3
Beyonce,Beyonce,2014-02-08,4
Pure Heroine,Lorde,2014-02-08,5
Kidz Bop 25,Kidz Bop Kids,2014-02-08,6
Mind Over Matter,Young The Giant,2014-02-08,7
High Hopes,Bruce Springsteen,2014-02-08,8
PRISM,Katy Perry,2014-02-08,9
The Marshall Mathers LP 2,Eminem,2014-02-08,10
Night Visions,Imagine Dragons,2014-02-08,11
That Girl,Jennifer Nettles,2014-02-08,12
Bad Blood,Bastille,2014-02-08,13
The Heist,Macklemore &amp; Ryan Lewis,2014-02-08,14
Midnight Memories,One Direction,2014-02-08,15
Bangerz,Miley Cyrus,2014-02-08,16
Nothing Was The Same,Drake,2014-02-08,17
Unorthodox Jukebox,Bruno Mars,2014-02-08,18
Here's To The Good Times,Florida Georgia Line,2014-02-08,19
Crash My Party,Luke Bryan,2014-02-08,20
The River & The Thread,Rosanne Cash,2014-02-08,21
Black Panties,R. Kelly,2014-02-08,22
Transgender Dysphoria Blues,Against Me!,2014-02-08,23
The Blessed Unrest,Sara Bareilles,2014-02-08,24
The 20/20 Experience (2 Of 2),Justin Timberlake,2014-02-08,25
Aer,Aer,2014-02-08,26
NOW 48,Various Artists,2014-02-08,27
Same Trailer Different Park,Kacey Musgraves,2014-02-08,28
Fading West (Soundtrack),Switchfoot,2014-02-08,29
All The Little Lights,Passenger,2014-02-08,30
Native,OneRepublic,2014-02-08,31
AM,Arctic Monkeys,2014-02-08,32
"good kid, m.A.A.d city",Kendrick Lamar,2014-02-08,33
My Own Lane,Kid Ink,2014-02-08,34
Love In The Future,John Legend,2014-02-08,35
Red,Taylor Swift,2014-02-08,36
Inside Llewyn Davis,Soundtrack,2014-02-08,37
The Truth About Love,P!nk,2014-02-08,38
Random Access Memories,Daft Punk,2014-02-08,39
Sail Out (EP),Jhene Aiko,2014-02-08,40
Transpose (EP),Bad Suns,2014-02-08,41
ARTPOP,Lady Gaga,2014-02-08,42
Warpaint,Warpaint,2014-02-08,43
Because The Internet,Childish Gambino,2014-02-08,44
Hard Working Americans,Hard Working Americans,2014-02-08,45
Blame It All On My Roots: Five Decades Of Influences,Garth Brooks,2014-02-08,46
Born To Die,Lana Del Rey,2014-02-08,47
The U.S. Albums,The Beatles,2014-02-08,48
Plagues Of Babylon,Iced Earth,2014-02-08,49
Give The People What They Want,Sharon Jones And The Dap-Kings,2014-02-08,50
Beach House (EP),Ty Dolla $ign,2014-02-08,51
Based On A True Story ...,Blake Shelton,2014-02-08,52
Foreverly,Billie Joe + Norah,2014-02-08,53
WOW Hits 2014,Various Artists,2014-02-08,54
Rave Tapes,Mogwai,2014-02-08,55
NOW That's What I Call Country Ballads 2,Various Artists,2014-02-08,56
Night Train,Jason Aldean,2014-02-08,57
True,Avicii,2014-02-08,58
+,Ed Sheeran,2014-02-08,59
Lord Steppington,Evidence &amp; Alchemist: Step Brothers,2014-02-08,60
Blurred Lines,Robin Thicke,2014-02-08,61
Halcyon,Ellie Goulding,2014-02-08,62
The 20/20 Experience,Justin Timberlake,2014-02-08,63
Restart,newsboys,2014-02-08,64
Yours Truly,Ariana Grande,2014-02-08,65
Ultra Dance 15,Various Artists,2014-02-08,66
Save Rock And Roll,Fall Out Boy,2014-02-08,67
I Love You.,The Neighbourhood,2014-02-08,68
Babel,Mumford &amp; Sons,2014-02-08,69
Lindsey Stirling,Lindsey Stirling,2014-02-08,70
Hunter Hayes,Hunter Hayes,2014-02-08,71
Hey Jude,The Beatles,2014-02-08,72
Baptized,Daughtry,2014-02-08,73
Yesterday And Today,The Beatles,2014-02-08,74
21,Adele,2014-02-08,75
Write You A Song,Jon Pardi,2014-02-08,76
Hail To The King,Avenged Sevenfold,2014-02-08,77
Modern Vampires Of The City,Vampire Weekend,2014-02-08,78
Fuse,Keith Urban,2014-02-08,79
Britney Jean,Britney Spears,2014-02-08,80
A Messenger,Colton Dixon,2014-02-08,81
Doo-Wops & Hooligans,Bruno Mars,2014-02-08,82
Blood,In This Moment,2014-02-08,83
1,The Beatles,2014-02-08,84
Pitch Perfect,Soundtrack,2014-02-08,85
Love And War,Tamar Braxton,2014-02-08,86
The Lumineers,The Lumineers,2014-02-08,87
The Wrong Side Of Heaven...Volume 2,Five Finger Death Punch,2014-02-08,88
Golden,Lady Antebellum,2014-02-08,89
Underground Luxury,B.o.B,2014-02-08,90
The 1975,The 1975,2014-02-08,91
Magna Carta... Holy Grail,JAY-Z,2014-02-08,92
I Am,Yo Gotti,2014-02-08,93
Unapologetic,Rihanna,2014-02-08,94
Reflektor,Arcade Fire,2014-02-08,95
It Goes Like This,Thomas Rhett,2014-02-08,96
Common Courtesy,A Day To Remember,2014-02-08,97
Miracle,Third Day,2014-02-08,98
Uncaged,Zac Brown Band,2014-02-08,99
"Too Weird To Live, Too Rare To Die!",Panic! At The Disco,2014-02-08,100
Brothers And Sisters Of The Eternal Son,Damien Jurado,2014-02-08,101
A Hard Day's Night (Soundtrack),The Beatles,2014-02-08,102
Rise,Skillet,2014-02-08,103
Paradise (EP),Lana Del Rey,2014-02-08,104
Mechanical Bull,Kings Of Leon,2014-02-08,105
American Hustle,Soundtrack,2014-02-08,106
Days Are Gone,HAIM,2014-02-08,107
My Head Is An Animal,Of Monsters And Men,2014-02-08,108
Off The Beaten Path,Justin Moore,2014-02-08,109
When Jazz Meets Guitar,Various Artists,2014-02-08,110
REV,Reverend Horton Heat,2014-02-08,111
The Piano Guys,The Piano Guys,2014-02-08,112
MTV Unplugged: In Athens,Scorpions,2014-02-08,113
Grace (EP),Tasha Cobbs,2014-02-08,114
Only King Forever,Elevation Worship,2014-02-08,115
Teenage Dream,Katy Perry,2014-02-08,116
Wicked,Original Broadway Cast Recording,2014-02-08,117
True Believers,Darius Rucker,2014-02-08,118
Take Me Home,One Direction,2014-02-08,119
Revelation,Los Lonely Boys,2014-02-08,120
From Water To War,Nine Lashes,2014-02-08,121
Church Clothes: Vol. 2,Lecrae,2014-02-08,122
Up All Night,One Direction,2014-02-08,123
Nashville: Season 2: Volume 1,Soundtrack,2014-02-08,124
Sigh No More,Mumford &amp; Sons,2014-02-08,125
Three Kings,TGT,2014-02-08,126
Demi,Demi Lovato,2014-02-08,127
Thriller,Michael Jackson,2014-02-08,128
The Best Of Nickelback: Volume 1,Nickelback,2014-02-08,129
Some Nights,fun.,2014-02-08,130
Legend: The Best Of...,Bob Marley And The Wailers,2014-02-08,131
To Be Loved,Michael Buble,2014-02-08,132
Lightning Bolt,Pearl Jam,2014-02-08,133
Bones Of What You Believe,CHVRCHES,2014-02-08,134
Megalithic Symphony,AWOLNATION,2014-02-08,135
The Legend Of Johnny Cash,Johnny Cash,2014-02-08,136
Global Warming,Pitbull,2014-02-08,137
Loved Me Back To Life,Celine Dion,2014-02-08,138
Austin & Ally: Turn It Up,Soundtrack,2014-02-08,139
The Eminem Show,Eminem,2014-02-08,140
God's Not Dead,newsboys,2014-02-08,141
Intolerance,Throwdown,2014-02-08,142
Revolver,The Beatles,2014-02-08,143
NOW 47,Various Artists,2014-02-08,144
The Acoustic Sessions {Volume One},Casting Crowns,2014-02-08,145
See You Tonight,Scotty McCreery,2014-02-08,146
Cowboy Like Me,Cody Johnson,2014-02-08,147
Clarity,Zedd,2014-02-08,148
The Wrong Side Of Heaven...Volume 1,Five Finger Death Punch,2014-02-08,149
