artist,date,rank
Luke Combs,2018-09-29,16
Paul McCartney,2018-09-29,17
Lauren Daigle,2018-09-29,18
Ella Mai,2018-09-29,19
Taylor Swift,2018-09-29,20
5 Seconds Of Summer,2018-09-29,21
Mac Miller,2018-09-29,22
Bruno Mars,2018-09-29,23
Kane Brown,2018-09-29,24
Jason Aldean,2018-09-29,25
Nicki Minaj,2018-09-29,26
Bebe Rexha,2018-09-29,27
6ix9ine,2018-09-29,28
Florida Georgia Line,2018-09-29,29
Camila Cabello,2018-09-29,30
Machine Gun Kelly,2018-09-29,31
Shawn Mendes,2018-09-29,32
Panic! At The Disco,2018-09-29,33
Dan + Shay,2018-09-29,34
Selena Gomez,2018-09-29,35
Chris Stapleton,2018-09-29,36
Lil Baby,2018-09-29,37
Thomas Rhett,2018-09-29,38
Diana Krall,2018-09-29,39
Tony Bennett,2018-09-29,40
Marshmello,2018-09-29,41
Brett Young,2018-09-29,42
Kendrick Lamar,2018-09-29,43
Tyga,2018-09-29,44
Willie Nelson,2018-09-29,45
Charlie Puth,2018-09-29,46
Kanye West,2018-09-29,47
Lil Uzi Vert,2018-09-29,48
Dua Lipa,2018-09-29,49
Thrice,2018-09-29,50
GOT7,2018-09-29,51
J Balvin,2018-09-29,52
Lil Pump,2018-09-29,53
Bazzi,2018-09-29,54
The Chainsmokers,2018-09-29,55
Luke Bryan,2018-09-29,56
DJ Khaled,2018-09-29,57
Childish Gambino,2018-09-29,58
Halsey,2018-09-29,59
Migos,2018-09-29,60
YoungBoy Never Broke Again,2018-09-29,61
Lauv,2018-09-29,62
NF,2018-09-29,63
Aretha Franklin,2018-09-29,64
Dierks Bentley,2018-09-29,65
Kenny Chesney,2018-09-29,66
Cole Swindell,2018-09-29,67
Sam Smith,2018-09-29,68
Old Dominion,2018-09-29,69
lovelytheband,2018-09-29,70
Bad Bunny,2018-09-29,71
Tori Kelly,2018-09-29,72
twenty one pilots,2018-09-29,73
Normani,2018-09-29,74
Eric Church,2018-09-29,75
The Weeknd,2018-09-29,76
Metallica,2018-09-29,77
Queen,2018-09-29,78
P!nk,2018-09-29,79
Russell Dickerson,2018-09-29,80
Weezer,2018-09-29,81
Ozuna,2018-09-29,82
Lynyrd Skynyrd,2018-09-29,83
Queen Naija,2018-09-29,84
Five Finger Death Punch,2018-09-29,85
Michael Jackson,2018-09-29,86
Justin Bieber,2018-09-29,87
Quavo,2018-09-29,88
Justin Timberlake,2018-09-29,89
Dylan Scott,2018-09-29,90
Louis Tomlinson,2018-09-29,91
Maren Morris,2018-09-29,92
YG,2018-09-29,93
Bryce Vine,2018-09-29,94
Adele,2018-09-29,95
Sia,2018-09-29,96
Rihanna,2018-09-29,97
Offset,2018-09-29,98
SZA,2018-09-29,99
Kodak Black,2018-09-29,100
Paul McCartney,2018-09-22,1
Eminem,2018-09-22,2
Lauren Daigle,2018-09-22,3
BTS,2018-09-22,4
Drake,2018-09-22,5
Mac Miller,2018-09-22,6
Post Malone,2018-09-22,7
Imagine Dragons,2018-09-22,8
Russ,2018-09-22,9
Ariana Grande,2018-09-22,10
Travis Scott,2018-09-22,11
Cardi B,2018-09-22,12
Ed Sheeran,2018-09-22,13
XXXTENTACION,2018-09-22,14
Maroon 5,2018-09-22,15
Juice WRLD,2018-09-22,16
Luke Combs,2018-09-22,17
Kane Brown,2018-09-22,18
$uicideBoy$,2018-09-22,19
Nicki Minaj,2018-09-22,20
Ella Mai,2018-09-22,21
Machine Gun Kelly,2018-09-22,22
Khalid,2018-09-22,23
Taylor Swift,2018-09-22,24
6ix9ine,2018-09-22,25
5 Seconds Of Summer,2018-09-22,26
Shawn Mendes,2018-09-22,27
Clutch,2018-09-22,28
Florida Georgia Line,2018-09-22,29
Bruno Mars,2018-09-22,30
Aretha Franklin,2018-09-22,31
Camila Cabello,2018-09-22,32
Panic! At The Disco,2018-09-22,33
Selena Gomez,2018-09-22,34
Dan + Shay,2018-09-22,35
Thomas Rhett,2018-09-22,36
Kanye West,2018-09-22,37
Jason Aldean,2018-09-22,38
Chris Stapleton,2018-09-22,39
Tyga,2018-09-22,40
Bebe Rexha,2018-09-22,41
J Balvin,2018-09-22,42
YoungBoy Never Broke Again,2018-09-22,43
Lil Pump,2018-09-22,44
Dua Lipa,2018-09-22,45
Kendrick Lamar,2018-09-22,46
Metallica,2018-09-22,47
Charlie Puth,2018-09-22,48
Marshmello,2018-09-22,49
Luke Bryan,2018-09-22,50
Childish Gambino,2018-09-22,51
Bazzi,2018-09-22,52
Migos,2018-09-22,53
DJ Khaled,2018-09-22,54
Bad Bunny,2018-09-22,55
Lil Baby,2018-09-22,56
Lauv,2018-09-22,57
Brett Young,2018-09-22,58
Kenny Chesney,2018-09-22,59
Halsey,2018-09-22,60
Carrie Underwood,2018-09-22,61
Grateful Dead,2018-09-22,62
The Chainsmokers,2018-09-22,63
twenty one pilots,2018-09-22,64
NF,2018-09-22,65
Cole Swindell,2018-09-22,66
J. Cole,2018-09-22,67
Old Dominion,2018-09-22,68
lovelytheband,2018-09-22,69
Lenny Kravitz,2018-09-22,70
Normani,2018-09-22,71
P!nk,2018-09-22,72
The Weeknd,2018-09-22,73
Queen,2018-09-22,74
Hozier,2018-09-22,75
Weezer,2018-09-22,76
Dylan Scott,2018-09-22,77
Ozuna,2018-09-22,78
Michael Jackson,2018-09-22,79
St. Paul &amp; The Broken Bones,2018-09-22,80
Adele,2018-09-22,81
Quavo,2018-09-22,82
G-Eazy,2018-09-22,83
Russell Dickerson,2018-09-22,84
Louis Tomlinson,2018-09-22,85
Led Zeppelin,2018-09-22,86
Justin Bieber,2018-09-22,87
YG,2018-09-22,88
Justin Timberlake,2018-09-22,89
Bryce Vine,2018-09-22,90
Sam Smith,2018-09-22,91
Maren Morris,2018-09-22,92
Lynyrd Skynyrd,2018-09-22,93
Paul Simon,2018-09-22,94
Upchurch,2018-09-22,95
SZA,2018-09-22,96
Queen Naija,2018-09-22,97
Rihanna,2018-09-22,98
MercyMe,2018-09-22,99
Dierks Bentley,2018-09-22,100
Eminem,2018-09-15,1
BTS,2018-09-15,2
Drake,2018-09-15,3
Post Malone,2018-09-15,4
Imagine Dragons,2018-09-15,5
Ariana Grande,2018-09-15,6
Troye Sivan,2018-09-15,7
Travis Scott,2018-09-15,8
Cardi B,2018-09-15,9
Maroon 5,2018-09-15,10
Ed Sheeran,2018-09-15,11
XXXTENTACION,2018-09-15,12
Why Don't We,2018-09-15,13
Juice WRLD,2018-09-15,14
Aretha Franklin,2018-09-15,15
Luke Combs,2018-09-15,16
6ix9ine,2018-09-15,17
Nicki Minaj,2018-09-15,18
Ella Mai,2018-09-15,19
Taylor Swift,2018-09-15,20
Khalid,2018-09-15,21
Florida Georgia Line,2018-09-15,22
5 Seconds Of Summer,2018-09-15,23
Camila Cabello,2018-09-15,24
Kane Brown,2018-09-15,25
Shawn Mendes,2018-09-15,26
Bruno Mars,2018-09-15,27
Panic! At The Disco,2018-09-15,28
Jason Aldean,2018-09-15,29
Childish Gambino,2018-09-15,30
Thomas Rhett,2018-09-15,31
Selena Gomez,2018-09-15,32
Dan + Shay,2018-09-15,33
YoungBoy Never Broke Again,2018-09-15,34
Bebe Rexha,2018-09-15,35
J Balvin,2018-09-15,36
Chris Stapleton,2018-09-15,37
Tyga,2018-09-15,38
Luke Bryan,2018-09-15,39
Kendrick Lamar,2018-09-15,40
twenty one pilots,2018-09-15,41
Charlie Puth,2018-09-15,42
Lauv,2018-09-15,43
Bad Bunny,2018-09-15,44
Michael Jackson,2018-09-15,45
Dua Lipa,2018-09-15,46
Migos,2018-09-15,47
Kenny Chesney,2018-09-15,48
Lauren Daigle,2018-09-15,49
Marshmello,2018-09-15,50
Brett Young,2018-09-15,51
DJ Khaled,2018-09-15,52
Bazzi,2018-09-15,53
Lynyrd Skynyrd,2018-09-15,54
Dierks Bentley,2018-09-15,55
Metallica,2018-09-15,56
Lil Baby,2018-09-15,57
Halsey,2018-09-15,58
Cole Swindell,2018-09-15,59
The Chainsmokers,2018-09-15,60
Carrie Underwood,2018-09-15,61
Ozuna,2018-09-15,62
NF,2018-09-15,63
Old Dominion,2018-09-15,64
Normani,2018-09-15,65
Quavo,2018-09-15,66
The Weeknd,2018-09-15,67
lovelytheband,2018-09-15,68
Weezer,2018-09-15,69
P!nk,2018-09-15,70
Leon Bridges,2018-09-15,71
Queen,2018-09-15,72
Amos Lee,2018-09-15,73
Adele,2018-09-15,74
Justin Timberlake,2018-09-15,75
YG,2018-09-15,76
Keith Urban,2018-09-15,77
Justin Bieber,2018-09-15,78
Sam Smith,2018-09-15,79
Bryce Vine,2018-09-15,80
Eric Church,2018-09-15,81
G-Eazy,2018-09-15,82
Louis Tomlinson,2018-09-15,83
The Carters,2018-09-15,84
Queen Naija,2018-09-15,85
Rihanna,2018-09-15,86
Maren Morris,2018-09-15,87
Demi Lovato,2018-09-15,88
Trippie Redd,2018-09-15,89
SZA,2018-09-15,90
Anne-Marie,2018-09-15,91
Eagles,2018-09-15,92
Fleetwood Mac,2018-09-15,93
Russell Dickerson,2018-09-15,94
Dylan Scott,2018-09-15,95
Tash Sultana,2018-09-15,96
Portugal. The Man,2018-09-15,97
Joyner Lucas,2018-09-15,98
Billie Eilish,2018-09-15,99
Offset,2018-09-15,100
BTS,2018-09-08,1
Drake,2018-09-08,2
Travis Scott,2018-09-08,3
Ariana Grande,2018-09-08,4
Post Malone,2018-09-08,5
XXXTENTACION,2018-09-08,6
Imagine Dragons,2018-09-08,7
Nicki Minaj,2018-09-08,8
Cardi B,2018-09-08,9
Ed Sheeran,2018-09-08,10
Maroon 5,2018-09-08,11
Juice WRLD,2018-09-08,12
Alice In Chains,2018-09-08,13
Luke Combs,2018-09-08,14
Florida Georgia Line,2018-09-08,15
Taylor Swift,2018-09-08,16
Ozuna,2018-09-08,17
Khalid,2018-09-08,18
Shawn Mendes,2018-09-08,19
Jason Aldean,2018-09-08,20
5 Seconds Of Summer,2018-09-08,21
Camila Cabello,2018-09-08,22
Ella Mai,2018-09-08,23
Kane Brown,2018-09-08,24
6ix9ine,2018-09-08,25
Panic! At The Disco,2018-09-08,26
Aretha Franklin,2018-09-08,27
Bruno Mars,2018-09-08,28
Thomas Rhett,2018-09-08,29
YoungBoy Never Broke Again,2018-09-08,30
Selena Gomez,2018-09-08,31
Chris Stapleton,2018-09-08,32
Kenny Chesney,2018-09-08,33
J Balvin,2018-09-08,34
Michael Jackson,2018-09-08,35
Dan + Shay,2018-09-08,36
Bebe Rexha,2018-09-08,37
Interpol,2018-09-08,38
Tyga,2018-09-08,39
Lynyrd Skynyrd,2018-09-08,40
Luke Bryan,2018-09-08,41
Lauren Daigle,2018-09-08,42
Brett Young,2018-09-08,43
Cole Swindell,2018-09-08,44
twenty one pilots,2018-09-08,45
Charlie Puth,2018-09-08,46
Migos,2018-09-08,47
Kendrick Lamar,2018-09-08,48
Bad Bunny,2018-09-08,49
DJ Khaled,2018-09-08,50
Bazzi,2018-09-08,51
Dua Lipa,2018-09-08,52
Lil Baby,2018-09-08,53
Marshmello,2018-09-08,54
The Chainsmokers,2018-09-08,55
Lauv,2018-09-08,56
Halsey,2018-09-08,57
Eagles,2018-09-08,58
Sam Smith,2018-09-08,59
Old Dominion,2018-09-08,60
Quavo,2018-09-08,61
Metallica,2018-09-08,62
NF,2018-09-08,63
Eminem,2018-09-08,64
Normani,2018-09-08,65
P!nk,2018-09-08,66
Justin Timberlake,2018-09-08,67
Adele,2018-09-08,68
The Weeknd,2018-09-08,69
Childish Gambino,2018-09-08,70
Louis Tomlinson,2018-09-08,71
J. Cole,2018-09-08,72
Weezer,2018-09-08,73
Justin Bieber,2018-09-08,74
The Carters,2018-09-08,75
lovelytheband,2018-09-08,76
Demi Lovato,2018-09-08,77
Trippie Redd,2018-09-08,78
Queen,2018-09-08,79
Bryce Vine,2018-09-08,80
Maren Morris,2018-09-08,81
G-Eazy,2018-09-08,82
Daddy Yankee,2018-09-08,83
YG,2018-09-08,84
Fleetwood Mac,2018-09-08,85
Elvis Presley,2018-09-08,86
SZA,2018-09-08,87
Eric Church,2018-09-08,88
Queen Naija,2018-09-08,89
Anne-Marie,2018-09-08,90
Alessia Cara,2018-09-08,91
Portugal. The Man,2018-09-08,92
Jason Mraz,2018-09-08,93
Keith Urban,2018-09-08,94
Kanye West,2018-09-08,95
Dierks Bentley,2018-09-08,96
Billie Eilish,2018-09-08,97
Rich The Kid,2018-09-08,98
ABBA,2018-09-08,99
The Amity Affliction,2018-09-08,100
Ariana Grande,2018-09-01,1
Aretha Franklin,2018-09-01,2
Drake,2018-09-01,3
Post Malone,2018-09-01,4
Travis Scott,2018-09-01,5
Nicki Minaj,2018-09-01,6
Imagine Dragons,2018-09-01,7
Cole Swindell,2018-09-01,8
BTS,2018-09-01,9
Cardi B,2018-09-01,10
Maroon 5,2018-09-01,11
Ed Sheeran,2018-09-01,12
XXXTENTACION,2018-09-01,13
Juice WRLD,2018-09-01,14
Luke Combs,2018-09-01,15
Taylor Swift,2018-09-01,16
Camila Cabello,2018-09-01,17
Death Cab For Cutie,2018-09-01,18
Shawn Mendes,2018-09-01,19
Khalid,2018-09-01,20
Panic! At The Disco,2018-09-01,21
Florida Georgia Line,2018-09-01,22
Ella Mai,2018-09-01,23
Kane Brown,2018-09-01,24
Bruno Mars,2018-09-01,25
Kenny Chesney,2018-09-01,26
Jason Aldean,2018-09-01,27
5 Seconds Of Summer,2018-09-01,28
6ix9ine,2018-09-01,29
Thomas Rhett,2018-09-01,30
J Balvin,2018-09-01,31
Ninja Sex Party,2018-09-01,32
Brett Young,2018-09-01,33
Chris Stapleton,2018-09-01,34
Selena Gomez,2018-09-01,35
Kendrick Lamar,2018-09-01,36
Bebe Rexha,2018-09-01,37
Dan + Shay,2018-09-01,38
Luke Bryan,2018-09-01,39
Blue October,2018-09-01,40
Tyga,2018-09-01,41
Bad Bunny,2018-09-01,42
Migos,2018-09-01,43
Lynyrd Skynyrd,2018-09-01,44
Dua Lipa,2018-09-01,45
Lauren Daigle,2018-09-01,46
Charlie Puth,2018-09-01,47
DJ Khaled,2018-09-01,48
Bazzi,2018-09-01,49
twenty one pilots,2018-09-01,50
Marshmello,2018-09-01,51
Lil Baby,2018-09-01,52
Eagles,2018-09-01,53
Lauv,2018-09-01,54
Trippie Redd,2018-09-01,55
Keith Urban,2018-09-01,56
P!nk,2018-09-01,57
Daddy Yankee,2018-09-01,58
Halsey,2018-09-01,59
Childish Gambino,2018-09-01,60
Old Dominion,2018-09-01,61
The Chainsmokers,2018-09-01,62
The Weeknd,2018-09-01,63
Eminem,2018-09-01,64
YoungBoy Never Broke Again,2018-09-01,65
NF,2018-09-01,66
Elvis Presley,2018-09-01,67
Michael Jackson,2018-09-01,68
Metallica,2018-09-01,69
The Carters,2018-09-01,70
Jason Mraz,2018-09-01,71
Justin Bieber,2018-09-01,72
Eric Church,2018-09-01,73
Sam Smith,2018-09-01,74
Normani,2018-09-01,75
Neil Diamond,2018-09-01,76
Demi Lovato,2018-09-01,77
Queen,2018-09-01,78
MercyMe,2018-09-01,79
Adele,2018-09-01,80
Quavo,2018-09-01,81
Weezer,2018-09-01,82
Alessia Cara,2018-09-01,83
Calvin Harris,2018-09-01,84
Justin Timberlake,2018-09-01,85
J. Cole,2018-09-01,86
Dierks Bentley,2018-09-01,87
Rihanna,2018-09-01,88
G-Eazy,2018-09-01,89
YG,2018-09-01,90
Portugal. The Man,2018-09-01,91
lovelytheband,2018-09-01,92
SZA,2018-09-01,93
ABBA,2018-09-01,94
Billie Eilish,2018-09-01,95
Queen Naija,2018-09-01,96
Rich The Kid,2018-09-01,97
Kanye West,2018-09-01,98
Anne-Marie,2018-09-01,99
Ozuna,2018-09-01,100
Travis Scott,2018-08-25,1
Nicki Minaj,2018-08-25,2
Drake,2018-08-25,3
Aretha Franklin,2018-08-25,4
Post Malone,2018-08-25,5
Imagine Dragons,2018-08-25,6
BTS,2018-08-25,7
Cardi B,2018-08-25,8
Maroon 5,2018-08-25,9
Taylor Swift,2018-08-25,10
Jason Mraz,2018-08-25,11
Ed Sheeran,2018-08-25,12
Trippie Redd,2018-08-25,13
XXXTENTACION,2018-08-25,14
Juice WRLD,2018-08-25,15
Ariana Grande,2018-08-25,16
Luke Combs,2018-08-25,17
Kane Brown,2018-08-25,18
Kenny Chesney,2018-08-25,19
Florida Georgia Line,2018-08-25,20
Shawn Mendes,2018-08-25,21
Elvis Presley,2018-08-25,22
Khalid,2018-08-25,23
Jason Aldean,2018-08-25,24
Ella Mai,2018-08-25,25
Camila Cabello,2018-08-25,26
Bruno Mars,2018-08-25,27
5 Seconds Of Summer,2018-08-25,28
twenty one pilots,2018-08-25,29
Panic! At The Disco,2018-08-25,30
J Balvin,2018-08-25,31
Thomas Rhett,2018-08-25,32
Brett Young,2018-08-25,33
6ix9ine,2018-08-25,34
Chris Stapleton,2018-08-25,35
Dan + Shay,2018-08-25,36
Luke Bryan,2018-08-25,37
Kendrick Lamar,2018-08-25,38
Bebe Rexha,2018-08-25,39
Dua Lipa,2018-08-25,40
Selena Gomez,2018-08-25,41
Tyga,2018-08-25,42
Migos,2018-08-25,43
DJ Khaled,2018-08-25,44
Bad Bunny,2018-08-25,45
Bazzi,2018-08-25,46
Halsey,2018-08-25,47
Charlie Puth,2018-08-25,48
The Weeknd,2018-08-25,49
Lil Baby,2018-08-25,50
J. Cole,2018-08-25,51
Keith Urban,2018-08-25,52
YG,2018-08-25,53
Lauren Daigle,2018-08-25,54
Eminem,2018-08-25,55
Childish Gambino,2018-08-25,56
The Carters,2018-08-25,57
Quavo,2018-08-25,58
NF,2018-08-25,59
Demi Lovato,2018-08-25,60
The Chainsmokers,2018-08-25,61
Marshmello,2018-08-25,62
Old Dominion,2018-08-25,63
Queen,2018-08-25,64
P!nk,2018-08-25,65
YoungBoy Never Broke Again,2018-08-25,66
Kanye West,2018-08-25,67
Lynyrd Skynyrd,2018-08-25,68
Metallica,2018-08-25,69
Alessia Cara,2018-08-25,70
Michael Jackson,2018-08-25,71
Justin Bieber,2018-08-25,72
Lauv,2018-08-25,73
Weezer,2018-08-25,74
Adele,2018-08-25,75
Billie Eilish,2018-08-25,76
Normani,2018-08-25,77
ABBA,2018-08-25,78
Portugal. The Man,2018-08-25,79
G-Eazy,2018-08-25,80
Dierks Bentley,2018-08-25,81
lovelytheband,2018-08-25,82
SZA,2018-08-25,83
Justin Timberlake,2018-08-25,84
Anne-Marie,2018-08-25,85
Queen Naija,2018-08-25,86
Rich The Kid,2018-08-25,87
Foster The People,2018-08-25,88
Cole Swindell,2018-08-25,89
MercyMe,2018-08-25,90
H.E.R.,2018-08-25,91
Zedd,2018-08-25,92
Backstreet Boys,2018-08-25,93
Rihanna,2018-08-25,94
Ozuna,2018-08-25,95
Five Finger Death Punch,2018-08-25,96
Ciara,2018-08-25,97
Ty Dolla $ign,2018-08-25,98
Carrie Underwood,2018-08-25,99
Maren Morris,2018-08-25,100
Travis Scott,2018-08-18,1
Drake,2018-08-18,2
BTS,2018-08-18,3
Post Malone,2018-08-18,4
Imagine Dragons,2018-08-18,5
Cardi B,2018-08-18,6
Maroon 5,2018-08-18,7
Ed Sheeran,2018-08-18,8
Mac Miller,2018-08-18,9
XXXTENTACION,2018-08-18,10
Ariana Grande,2018-08-18,11
Kenny Chesney,2018-08-18,12
Taylor Swift,2018-08-18,13
Juice WRLD,2018-08-18,14
Luke Combs,2018-08-18,15
YG,2018-08-18,16
Kane Brown,2018-08-18,17
Florida Georgia Line,2018-08-18,18
Ella Mai,2018-08-18,19
Shawn Mendes,2018-08-18,20
Jason Aldean,2018-08-18,21
Camila Cabello,2018-08-18,22
Khalid,2018-08-18,23
6ix9ine,2018-08-18,24
Bruno Mars,2018-08-18,25
Brett Young,2018-08-18,26
Thomas Rhett,2018-08-18,27
5 Seconds Of Summer,2018-08-18,28
H.E.R.,2018-08-18,29
J Balvin,2018-08-18,30
Luke Bryan,2018-08-18,31
Panic! At The Disco,2018-08-18,32
Chris Stapleton,2018-08-18,33
Dua Lipa,2018-08-18,34
Bazzi,2018-08-18,35
Dan + Shay,2018-08-18,36
twenty one pilots,2018-08-18,37
Tyga,2018-08-18,38
Kendrick Lamar,2018-08-18,39
Selena Gomez,2018-08-18,40
DJ Khaled,2018-08-18,41
Bebe Rexha,2018-08-18,42
Bad Bunny,2018-08-18,43
Migos,2018-08-18,44
Nicki Minaj,2018-08-18,45
Halsey,2018-08-18,46
Demi Lovato,2018-08-18,47
Charlie Puth,2018-08-18,48
Keith Urban,2018-08-18,49
P!nk,2018-08-18,50
Lil Baby,2018-08-18,51
Childish Gambino,2018-08-18,52
The Carters,2018-08-18,53
Marshmello,2018-08-18,54
Queen,2018-08-18,55
Lynyrd Skynyrd,2018-08-18,56
Old Dominion,2018-08-18,57
NF,2018-08-18,58
Metallica,2018-08-18,59
ABBA,2018-08-18,60
The Chainsmokers,2018-08-18,61
J. Cole,2018-08-18,62
Alessia Cara,2018-08-18,63
The Weeknd,2018-08-18,64
Lauv,2018-08-18,65
Justin Bieber,2018-08-18,66
Justin Timberlake,2018-08-18,67
Michael Jackson,2018-08-18,68
Lauren Daigle,2018-08-18,69
Eminem,2018-08-18,70
Portugal. The Man,2018-08-18,71
G-Eazy,2018-08-18,72
Louis Tomlinson,2018-08-18,73
Rich The Kid,2018-08-18,74
Adele,2018-08-18,75
Queen Naija,2018-08-18,76
Normani,2018-08-18,77
lovelytheband,2018-08-18,78
MercyMe,2018-08-18,79
Foster The People,2018-08-18,80
Weezer,2018-08-18,81
SZA,2018-08-18,82
Anne-Marie,2018-08-18,83
Dierks Bentley,2018-08-18,84
Kanye West,2018-08-18,85
Backstreet Boys,2018-08-18,86
Carrie Underwood,2018-08-18,87
Billie Eilish,2018-08-18,88
Fleetwood Mac,2018-08-18,89
Ty Dolla $ign,2018-08-18,90
YoungBoy Never Broke Again,2018-08-18,91
Five Finger Death Punch,2018-08-18,92
Ozuna,2018-08-18,93
Maren Morris,2018-08-18,94
Sam Hunt,2018-08-18,95
Offset,2018-08-18,96
Zedd,2018-08-18,97
Future,2018-08-18,98
Blake Shelton,2018-08-18,99
Journey,2018-08-18,100
Drake,2018-08-11,1
Kenny Chesney,2018-08-11,2
Post Malone,2018-08-11,3
Imagine Dragons,2018-08-11,4
Cardi B,2018-08-11,5
Maroon 5,2018-08-11,6
XXXTENTACION,2018-08-11,7
Ed Sheeran,2018-08-11,8
Taylor Swift,2018-08-11,9
BTS,2018-08-11,10
Ariana Grande,2018-08-11,11
Halestorm,2018-08-11,12
Juice WRLD,2018-08-11,13
Luke Combs,2018-08-11,14
6ix9ine,2018-08-11,15
Daughtry,2018-08-11,16
Florida Georgia Line,2018-08-11,17
Shawn Mendes,2018-08-11,18
Cody Jinks,2018-08-11,19
Demi Lovato,2018-08-11,20
Khalid,2018-08-11,21
Jason Aldean,2018-08-11,22
DJ Khaled,2018-08-11,23
Bruno Mars,2018-08-11,24
Camila Cabello,2018-08-11,25
Panic! At The Disco,2018-08-11,26
Kane Brown,2018-08-11,27
Queen Naija,2018-08-11,28
J Balvin,2018-08-11,29
Thomas Rhett,2018-08-11,30
5 Seconds Of Summer,2018-08-11,31
Ella Mai,2018-08-11,32
Grateful Dead,2018-08-11,33
Brett Young,2018-08-11,34
Kendrick Lamar,2018-08-11,35
Dua Lipa,2018-08-11,36
Chris Stapleton,2018-08-11,37
Luke Bryan,2018-08-11,38
Bad Bunny,2018-08-11,39
Dan + Shay,2018-08-11,40
twenty one pilots,2018-08-11,41
Migos,2018-08-11,42
Nicki Minaj,2018-08-11,43
Kanye West,2018-08-11,44
Tyga,2018-08-11,45
Keith Urban,2018-08-11,46
Bebe Rexha,2018-08-11,47
Selena Gomez,2018-08-11,48
Charlie Puth,2018-08-11,49
Bazzi,2018-08-11,50
NCT,2018-08-11,51
The Carters,2018-08-11,52
Childish Gambino,2018-08-11,53
Marshmello,2018-08-11,54
Halsey,2018-08-11,55
ABBA,2018-08-11,56
Queen,2018-08-11,57
Lil Baby,2018-08-11,58
Metallica,2018-08-11,59
P!nk,2018-08-11,60
The Chainsmokers,2018-08-11,61
The Weeknd,2018-08-11,62
Lynyrd Skynyrd,2018-08-11,63
Travis Scott,2018-08-11,64
Rise Against,2018-08-11,65
Justin Bieber,2018-08-11,66
NF,2018-08-11,67
Future,2018-08-11,68
Justin Timberlake,2018-08-11,69
Old Dominion,2018-08-11,70
Anne-Marie,2018-08-11,71
Lauv,2018-08-11,72
Rich The Kid,2018-08-11,73
Michael Jackson,2018-08-11,74
Alessia Cara,2018-08-11,75
Eminem,2018-08-11,76
Weezer,2018-08-11,77
Foster The People,2018-08-11,78
Boz Scaggs,2018-08-11,79
Lauren Daigle,2018-08-11,80
Adele,2018-08-11,81
Portugal. The Man,2018-08-11,82
YG,2018-08-11,83
G-Eazy,2018-08-11,84
SZA,2018-08-11,85
YoungBoy Never Broke Again,2018-08-11,86
Sam Hunt,2018-08-11,87
Rihanna,2018-08-11,88
Ty Dolla $ign,2018-08-11,89
Louis Tomlinson,2018-08-11,90
Normani,2018-08-11,91
Billie Eilish,2018-08-11,92
MercyMe,2018-08-11,93
Journey,2018-08-11,94
Five Finger Death Punch,2018-08-11,95
Offset,2018-08-11,96
Guns N' Roses,2018-08-11,97
Ozuna,2018-08-11,98
Eagles,2018-08-11,99
Dierks Bentley,2018-08-11,100
Drake,2018-08-04,1
Post Malone,2018-08-04,2
Imagine Dragons,2018-08-04,3
BTS,2018-08-04,4
Cardi B,2018-08-04,5
XXXTENTACION,2018-08-04,6
Taylor Swift,2018-08-04,7
Maroon 5,2018-08-04,8
Ed Sheeran,2018-08-04,9
Ariana Grande,2018-08-04,10
Shawn Mendes,2018-08-04,11
Juice WRLD,2018-08-04,12
Luke Combs,2018-08-04,13
Florida Georgia Line,2018-08-04,14
Panic! At The Disco,2018-08-04,15
Demi Lovato,2018-08-04,16
Camila Cabello,2018-08-04,17
6ix9ine,2018-08-04,18
Bruno Mars,2018-08-04,19
Khalid,2018-08-04,20
Jason Aldean,2018-08-04,21
Kane Brown,2018-08-04,22
One Direction,2018-08-04,23
J Balvin,2018-08-04,24
Ella Mai,2018-08-04,25
Nicki Minaj,2018-08-04,26
Keith Urban,2018-08-04,27
Chris Stapleton,2018-08-04,28
Brett Young,2018-08-04,29
Kendrick Lamar,2018-08-04,30
Thomas Rhett,2018-08-04,31
twenty one pilots,2018-08-04,32
Dua Lipa,2018-08-04,33
Kenny Chesney,2018-08-04,34
Bad Bunny,2018-08-04,35
5 Seconds Of Summer,2018-08-04,36
Dan + Shay,2018-08-04,37
ABBA,2018-08-04,38
Charlie Puth,2018-08-04,39
Childish Gambino,2018-08-04,40
Migos,2018-08-04,41
Bebe Rexha,2018-08-04,42
Luke Bryan,2018-08-04,43
Queen,2018-08-04,44
Selena Gomez,2018-08-04,45
Halsey,2018-08-04,46
The Carters,2018-08-04,47
Marshmello,2018-08-04,48
Metallica,2018-08-04,49
Bazzi,2018-08-04,50
Tyga,2018-08-04,51
Lil Baby,2018-08-04,52
Future,2018-08-04,53
Michael Jackson,2018-08-04,54
The Weeknd,2018-08-04,55
P!nk,2018-08-04,56
Lynyrd Skynyrd,2018-08-04,57
Rich The Kid,2018-08-04,58
Billie Eilish,2018-08-04,59
Lauren Daigle,2018-08-04,60
Justin Timberlake,2018-08-04,61
Lauv,2018-08-04,62
Kidz Bop Kids,2018-08-04,63
Eminem,2018-08-04,64
Kanye West,2018-08-04,65
Foster The People,2018-08-04,66
SZA,2018-08-04,67
Wiz Khalifa,2018-08-04,68
Alessia Cara,2018-08-04,69
Louis Tomlinson,2018-08-04,70
Anne-Marie,2018-08-04,71
Old Dominion,2018-08-04,72
NF,2018-08-04,73
