artist,date,rank
Old Crow Medicine Show,2014-03-15,70
Joe Nichols,2014-03-15,71
Arctic Monkeys,2014-03-15,72
Rihanna,2014-03-15,73
YG,2014-03-15,74
American Authors,2014-03-15,75
Lil Jon,2014-03-15,76
Rixton,2014-03-15,77
Jhene Aiko,2014-03-15,78
Jack White,2014-03-15,79
Tiesto,2014-03-15,80
DJ Snake,2014-03-15,81
Taylor Swift,2014-03-15,82
Ellie Goulding,2014-03-15,83
Chris Young,2014-03-15,84
Kid Ink,2014-03-15,85
Zedd,2014-03-15,86
P!nk,2014-03-15,87
The Black Keys,2014-03-15,88
Carrie Underwood,2014-03-15,89
Phillip Phillips,2014-03-15,90
JAY-Z,2014-03-15,91
Idina Menzel,2014-03-15,92
Tyler Farr,2014-03-15,93
Cole Swindell,2014-03-15,94
Adele,2014-03-15,95
Justin Moore,2014-03-15,96
Tim McGraw,2014-03-15,97
Ingrid Michaelson,2014-03-15,98
Christina Perri,2014-03-15,99
Passenger,2014-03-15,100
Trey Songz,2014-03-08,1
Sam Smith,2014-03-08,2
Iggy Azalea,2014-03-08,3
MAGIC!,2014-03-08,4
Ed Sheeran,2014-03-08,5
Ariana Grande,2014-03-08,6
Katy Perry,2014-03-08,7
5 Seconds Of Summer,2014-03-08,8
Jason Derulo,2014-03-08,9
Luke Bryan,2014-03-08,10
Pharrell Williams,2014-03-08,11
Nico &amp; Vinz,2014-03-08,12
OneRepublic,2014-03-08,13
Maroon 5,2014-03-08,14
Charli XCX,2014-03-08,15
Lana Del Rey,2014-03-08,16
John Legend,2014-03-08,17
Miranda Lambert,2014-03-08,18
Calvin Harris,2014-03-08,19
Eminem,2014-03-08,20
Justin Timberlake,2014-03-08,21
Imagine Dragons,2014-03-08,22
Florida Georgia Line,2014-03-08,23
Lorde,2014-03-08,24
Miley Cyrus,2014-03-08,25
Beyonce,2014-03-08,26
Coldplay,2014-03-08,27
Brantley Gilbert,2014-03-08,28
Bruno Mars,2014-03-08,29
Seether,2014-03-08,30
Robin Thicke,2014-03-08,31
Michael Jackson,2014-03-08,32
Drake,2014-03-08,33
One Direction,2014-03-08,34
Paramore,2014-03-08,35
Blake Shelton,2014-03-08,36
Chris Brown,2014-03-08,37
Sia,2014-03-08,38
Dierks Bentley,2014-03-08,39
Disclosure,2014-03-08,40
Jake Owen,2014-03-08,41
Nicki Minaj,2014-03-08,42
MKTO,2014-03-08,43
Demi Lovato,2014-03-08,44
Bastille,2014-03-08,45
Lady Antebellum,2014-03-08,46
Kenny Chesney,2014-03-08,47
Pitbull,2014-03-08,48
Linkin Park,2014-03-08,49
Avicii,2014-03-08,50
Shakira,2014-03-08,51
ScHoolboy Q,2014-03-08,52
Colt Ford,2014-03-08,53
August Alsina,2014-03-08,54
Lil Wayne,2014-03-08,55
Eric Church,2014-03-08,56
KONGOS,2014-03-08,57
Enrique Iglesias,2014-03-08,58
Zac Brown Band,2014-03-08,59
Wiz Khalifa,2014-03-08,60
Jennifer Lopez,2014-03-08,61
Snoop Dogg,2014-03-08,62
Led Zeppelin,2014-03-08,63
Becky G,2014-03-08,64
Usher,2014-03-08,65
Lee Brice,2014-03-08,66
Justin Bieber,2014-03-08,67
Hillsong Worship,2014-03-08,68
Jason Aldean,2014-03-08,69
Old Crow Medicine Show,2014-03-08,70
Joe Nichols,2014-03-08,71
Arctic Monkeys,2014-03-08,72
Rihanna,2014-03-08,73
YG,2014-03-08,74
American Authors,2014-03-08,75
Lil Jon,2014-03-08,76
Rixton,2014-03-08,77
Jhene Aiko,2014-03-08,78
Jack White,2014-03-08,79
Tiesto,2014-03-08,80
DJ Snake,2014-03-08,81
Taylor Swift,2014-03-08,82
Ellie Goulding,2014-03-08,83
Chris Young,2014-03-08,84
Kid Ink,2014-03-08,85
Zedd,2014-03-08,86
P!nk,2014-03-08,87
The Black Keys,2014-03-08,88
Carrie Underwood,2014-03-08,89
Phillip Phillips,2014-03-08,90
JAY-Z,2014-03-08,91
Idina Menzel,2014-03-08,92
Tyler Farr,2014-03-08,93
Cole Swindell,2014-03-08,94
Adele,2014-03-08,95
Justin Moore,2014-03-08,96
Tim McGraw,2014-03-08,97
Ingrid Michaelson,2014-03-08,98
Christina Perri,2014-03-08,99
Passenger,2014-03-08,100
Trey Songz,2014-03-01,1
Sam Smith,2014-03-01,2
Iggy Azalea,2014-03-01,3
MAGIC!,2014-03-01,4
Ed Sheeran,2014-03-01,5
Ariana Grande,2014-03-01,6
Katy Perry,2014-03-01,7
5 Seconds Of Summer,2014-03-01,8
Jason Derulo,2014-03-01,9
Luke Bryan,2014-03-01,10
Pharrell Williams,2014-03-01,11
Nico &amp; Vinz,2014-03-01,12
OneRepublic,2014-03-01,13
Maroon 5,2014-03-01,14
Charli XCX,2014-03-01,15
Lana Del Rey,2014-03-01,16
John Legend,2014-03-01,17
Miranda Lambert,2014-03-01,18
Calvin Harris,2014-03-01,19
Eminem,2014-03-01,20
Justin Timberlake,2014-03-01,21
Imagine Dragons,2014-03-01,22
Florida Georgia Line,2014-03-01,23
Lorde,2014-03-01,24
Miley Cyrus,2014-03-01,25
Beyonce,2014-03-01,26
Coldplay,2014-03-01,27
Brantley Gilbert,2014-03-01,28
Bruno Mars,2014-03-01,29
Seether,2014-03-01,30
Robin Thicke,2014-03-01,31
Michael Jackson,2014-03-01,32
Drake,2014-03-01,33
One Direction,2014-03-01,34
Paramore,2014-03-01,35
Blake Shelton,2014-03-01,36
Chris Brown,2014-03-01,37
Sia,2014-03-01,38
Dierks Bentley,2014-03-01,39
Disclosure,2014-03-01,40
Jake Owen,2014-03-01,41
Nicki Minaj,2014-03-01,42
MKTO,2014-03-01,43
Demi Lovato,2014-03-01,44
